Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [MCC],Price [MCC],In stock [MCC],Low stock [MCC],Available for sale [MOE],Price [MOE],In stock [MOE],Low stock [MOE],Available for sale [WareHouse],Price [WareHouse],In stock [WareHouse],Low stock [WareHouse],"Tax - ""VAT"" (5%)"
ring-2511070409,2511070409,Ring 2511070409,4 Ring,<p>SS 18KGP Shell</p>,N,,,,,,,150.00,112.50,2025110704097,,,Y,Y,150.00,0.000,1.000,N,150.00,0.000,,Y,150.00,0.000,,Y
ring-2511070410,2511070410,Ring 2511070410,4 Ring,<p>SS 18kGP Zircon</p>,N,,,,,,,160.00,120.00,2025110704103,,,Y,Y,160.00,2.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2512050401,2512050401,Ring 2512050401,4 Ring,<p>SS 18kGP FW Pearl</p>,N,,,,,,,120.00,90.00,2025120504014,,,Y,Y,120.00,3.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
ring-2512050402,2512050402,Ring 2512050402,[1] 2603 품절,<p>SS 18kGP Glass Stone</p>,N,,,,,,,240.00,180.00,2025120504021,,,Y,Y,240.00,0.000,1.000,N,240.00,0.000,,Y,240.00,0.000,,Y
ring-2512050403,2512050403,Ring 2512050403,4 Ring,<p>SS 18kGP Glass Stone</p>,N,,,,,,,240.00,180.00,2025120504038,,,Y,Y,240.00,1.000,1.000,N,240.00,0.000,,Y,240.00,0.000,,Y
ring-2512050404,2512050404,Ring 2512050404,4 Ring,<p>SS Zircon</p>,N,,,,,,,120.00,90.00,2025120504045,,,Y,Y,120.00,0.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
ring-2512050405,2512050405,Ring 2512050405,[1] 2603 품절,<p>SS 18kGP Zircon</p>,N,,,,,,,120.00,90.00,2025120504052,,,Y,Y,120.00,0.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
ring-2512050406,2512050406,Ring 2512050406,[1] 2603 품절,<p>SS 18kGP Zircon</p>,N,,,,,,,160.00,120.00,2025120504069,,,Y,Y,160.00,0.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2512050407,2512050407,Ring 2512050407,4 Ring,<p>Silver925 18KGP High Carbon Diamond</p>,N,,,,,,,435.00,326.25,2025120504076,,,Y,Y,435.00,1.000,1.000,N,435.00,0.000,,Y,435.00,0.000,,Y
ring-2512050408,2512050408,Ring 2512050408,4 Ring,<p>SS 18kGP FW Pearl</p>,N,,,,,,,160.00,120.00,2025120504083,,,Y,Y,160.00,1.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2512050409,2512050409,Ring 2512050409,4 Ring,<p>SS 18kGP FW Pearl</p>,N,,,,,,,190.00,142.50,2025120504090,,,Y,Y,190.00,4.000,1.000,N,190.00,0.000,,Y,190.00,0.000,,Y
ring-2512050410,2512050410,Ring 2512050410,4 Ring,<p>SS 18kGP High Carbon Diamond</p>,N,,,,,,,800.00,600.00,2025120504106,,,Y,Y,800.00,1.000,1.000,N,800.00,0.000,,Y,800.00,0.000,,Y
ring-2512060401,2512060401,Ring 2512060401,4 Ring,<p>SS 18kGP Natural Stone</p>,N,,,,,,,160.00,120.00,2025120604011,,,Y,Y,160.00,0.000,1.000,Y,160.00,0.000,1.000,Y,160.00,0.000,,Y
ring-2512060402,2512060402,Ring 2512060402,[1] 2603 품절,<p>SS 18KGP Zircon</p>,N,,,,,,,160.00,120.00,2025120604028,,,Y,Y,160.00,0.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2512060403,2512060403,Ring 2512060403,[1] 2603 품절,<p>SS 18KGP Zircon</p>,N,,,,,,,160.00,120.00,2025120604035,,,Y,Y,160.00,0.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2512060404,2512060404,Ring 2512060404,4 Ring,<p>Titanium 18kGP</p>,N,,,,,,,140.00,105.00,2025120604042,,,Y,Y,140.00,3.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
ring-2512060405,2512060405,Ring 2512060405,4 Ring,<p>Copper 18KGP Zircon</p>,N,,,,,,,150.00,112.50,2025120604059,,,Y,Y,150.00,0.000,1.000,N,150.00,0.000,,Y,150.00,0.000,,Y
ring-2512060406,2512060406,Ring 2512060406,4 Ring,<p>Silver925 18kGP Zircon</p>,N,,,,,,,140.00,105.00,2025120604066,,,Y,Y,140.00,4.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
ring-2512060407,2512060407,Ring 2512060407,4 Ring,<p>Silver925 18kGP Zircon</p>,N,,,,,,,140.00,105.00,2025120604073,,,Y,Y,140.00,4.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
